Aktivitätstyp,Datum,Favorit,Titel,Distanz,Kalorien,Gesamtzeit,Ø Herzfrequenz,Maximale Herzfrequenz,Ø Geschwindigkeit,Training Stress Score®,Schritte,Wiederholungen insgesamt,Sätze insgesamt,Dekompression,Beste Rundenzeit,Anzahl der Runden,Ø Atemfrequenz,Minimale Atemfrequenz,Maximale Atemfrequenz,Stressänderung,Stress: Start,Stress: Ende,Zeit in Bewegung,Verstrichene Zeit,Minimale Höhe,Maximale Höhe
Cardio,2025-11-10 15:24:13,false,"Cardio","0,00","181","01:15:32","93","133","--","0,0","--","--","--","Nein","01:15:32","1","--","--","--","--","--","--","00:00:00","01:15:32","513","518"
Cardio,2025-11-04 14:50:53,false,"Cardio","0,00","166","00:42:10","112","147","--","0,0","--","--","--","Nein","00:42:10","1","--","--","--","--","--","--","00:00:00","00:42:10","520","525"
Cardio,2025-10-30 16:55:26,false,"Cardio","0,00","232","00:49:32","124","156","--","0,0","--","--","--","Nein","00:49:32","1","--","--","--","--","--","--","00:00:00","00:49:32","508","508"
Cardio,2025-10-28 08:45:04,false,"Cardio","0,00","115","00:43:22","94","129","--","0,0","--","--","--","Nein","00:43:22","1","--","--","--","--","--","--","00:00:00","00:43:22","522","522"
Cardio,2025-10-23 17:10:46,false,"Cardio","0,00","147","00:35:57","114","149","--","0,0","--","--","--","Nein","00:35:57","1","--","--","--","--","--","--","00:00:00","00:35:57","396","402"
Cardio,2025-10-21 12:56:41,false,"Cardio","0,00","180","00:50:43","107","144","--","0,0","--","--","--","Nein","00:50:43","1","--","--","--","--","--","--","00:00:00","00:50:43","430","430"
Cardio,2025-10-15 18:28:09,false,"Cardio","0,00","77","00:40:12","84","126","--","0,0","--","--","--","Nein","00:05:22,1","2","--","--","--","--","--","--","00:00:00","00:40:12","466","466"
Cardio,2025-10-15 17:23:42,false,"Cardio","0,00","180","00:45:31","113","156","--","0,0","--","--","--","Nein","00:45:31","1","--","--","--","--","--","--","00:00:00","00:45:31","459","466"
Cardio,2025-10-13 14:03:51,false,"Cardio","0,00","167","01:04:15","94","126","--","0,0","--","--","--","Nein","01:04:15","1","--","--","--","--","--","--","00:00:00","01:04:15","473","478"
Cardio,2025-10-10 12:17:53,false,"Cardio","0,00","196","00:41:05","123","161","--","0,0","--","--","--","Nein","00:41:05","1","--","--","--","--","--","--","00:00:00","00:41:05","483","487"
Cardio,2025-10-08 13:37:47,false,"Cardio","0,00","302","01:16:15","119","164","--","0,0","--","--","--","Nein","01:16:15","1","--","--","--","--","--","--","00:00:00","01:20:02","508","519"
Cardio,2025-10-06 16:52:10,false,"Cardio","0,00","251","00:58:02","121","149","--","0,0","--","--","--","Nein","00:58:02","1","--","--","--","--","--","--","00:00:00","01:13:27","526","533"
Cardio,2025-09-26 11:18:40,false,"Cardio","0,00","49","00:20:26","91","115","--","0,0","--","--","--","Nein","00:20:26","1","--","--","--","--","--","--","00:00:00","00:20:26","31","31"
Cardio,2025-09-25 08:34:03,false,"Cardio","0,00","88","00:21:10","115","166","--","0,0","--","--","--","Nein","00:21:10","1","--","--","--","--","--","--","00:00:00","00:21:10","38","38"
Cardio,2025-09-23 18:12:02,false,"Cardio","0,00","76","00:36:04","87","118","--","0,0","--","--","--","Nein","00:36:04","1","--","--","--","--","--","--","00:00:00","00:36:04","34","34"
Cardio,2025-09-17 16:32:53,false,"Cardio","0,00","176","01:06:23","97","143","--","0,0","--","--","--","Nein","01:06:23","1","--","--","--","--","--","--","00:00:00","01:24:51","385","386"
Cardio,2025-09-15 17:26:39,false,"Cardio","0,00","169","00:41:38","116","144","--","0,0","--","--","--","Nein","00:41:38","1","--","--","--","--","--","--","00:00:00","00:41:38","408","409"
Cardio,2025-09-12 16:16:22,false,"Cardio","0,00","66","00:16:18","110","149","--","0,0","--","--","--","Nein","00:16:18","1","--","--","--","--","--","--","00:00:00","00:16:18","434","437"
Cardio,2025-09-11 17:18:07,false,"Cardio","0,00","155","00:48:03","105","140","--","0,0","--","--","--","Nein","00:48:03","1","--","--","--","--","--","--","00:00:00","00:48:03","456","458"
Cardio,2025-09-06 18:03:01,false,"Cardio","0,00","116","00:37:11","102","130","--","0,0","--","--","--","Nein","00:37:11","1","--","--","--","--","--","--","00:00:00","00:37:11","434","434"
Cardio,2025-09-04 16:06:41,false,"Cardio","0,00","118","00:48:29","93","126","--","0,0","--","--","--","Nein","00:48:29","1","--","--","--","--","--","--","00:00:00","00:48:29","33","33"
