Aktivitätstyp,Datum,Favorit,Titel,Distanz,Kalorien,Zeit,Ø Herzfrequenz,Maximale Herzfrequenz,Ø Schrittfrequenz (Laufen),Max. Schrittfrequenz (Laufen),Ø Pace,Beste Pace,Anstieg gesamt,Abstieg gesamt,Ø Schrittlänge,Training Stress Score®,Schritte,Dekompression,Beste Rundenzeit,Anzahl der Runden,Zeit in Bewegung,Verstrichene Zeit,Minimale Höhe,Maximale Höhe
Laufen,2025-11-07 12:28:57,false,"Pliening Laufen","3,83","225","00:28:49","162","181","152","165","7:32","6:07","12","11","0,87","0,0","4.384","Nein","00:05:58,5","4","00:28:42","00:36:40","503","517"
Laufbandtraining,2025-11-04 15:36:36,false,"Laufbandtraining","1,04","67","00:08:51,6","143","155","131","148","8:31","7:30","--","--","0,90","0,0","1.164","Nein","00:00:51,1","2","00:08:08","00:08:51,6","--","--"
Laufen,2025-11-03 17:14:41,false,"Pliening Laufen","5,59","332","00:39:42","158","187","156","188","7:06","4:46","13","15","0,90","0,0","6.210","Nein","00:03:43,6","6","00:39:34","00:39:42","501","517"
Laufbandtraining,2025-11-01 17:51:46,false,"Laufbandtraining","0,83","54","00:09:02,8","127","136","128","153","10:56","8:43","--","--","0,71","0,0","1.178","Nein","00:09:02,8","1","00:07:37","00:09:02,8","--","--"
Laufen,2025-10-29 16:42:40,false,"Pliening Laufen","4,52","238","00:42:12","139","154","146","157","9:20","8:01","10","4","0,73","0,0","6.172","Nein","00:04:37,7","5","00:41:54","00:42:37","503","516"
Laufbandtraining,2025-10-28 09:33:02,false,"Laufbandtraining","3,65","210","00:36:58","130","165","141","161","10:08","6:13","--","--","0,70","0,0","5.198","Nein","00:06:05,4","4","00:36:40","00:36:58","--","--"
Laufbandtraining,2025-10-27 17:35:29,false,"Laufbandtraining","3,03","203","00:30:13","139","153","144","151","9:58","6:51","--","--","0,70","0,0","4.368","Nein","00:00:19,1","4","00:30:04","00:30:13","--","--"
Laufbandtraining,2025-10-25 17:40:41,false,"Laufbandtraining","2,80","179","00:27:58","135","154","146","155","9:59","8:03","--","--","0,68","0,0","4.084","Nein","00:07:42,0","3","00:27:51","00:27:58","--","--"
Laufbandtraining,2025-10-23 17:47:21,false,"Laufbandtraining","0,77","54","00:07:53,0","135","148","138","147","10:17","9:04","--","--","0,71","0,0","1.092","Nein","00:07:53,0","1","00:07:45","00:07:53,0","--","--"
Laufbandtraining,2025-10-15 06:27:43,false,"Laufbandtraining","3,57","206","00:35:08","132","145","150","156","9:50","8:59","--","--","0,57","0,0","5.250","Nein","00:11:34","3","00:35:00","00:35:08","--","--"
Laufbandtraining,2025-10-13 15:15:05,false,"Laufbandtraining","2,83","177","00:34:53","122","140","142","149","12:20","10:42","--","--","0,57","0,0","4.972","Nein","00:10:10","3","00:34:29","00:34:53","--","--"
Laufbandtraining,2025-10-10 12:02:21,false,"Laufbandtraining","0,84","40","00:11:15","104","114","130","145","13:26","11:10","--","--","0,57","0,0","1.472","Nein","00:11:15","1","00:10:29","00:11:15","--","--"
Laufen,2025-10-07 18:58:09,false,"Pliening Laufen","2,45","130","00:22:50","138","156","143","233","9:19","6:03","--","--","0,75","0,0","3.326","Nein","00:04:28,5","3","00:22:42","00:25:42","503","506"
Laufen,2025-10-03 12:15:01,false,"Anzing Laufen","5,14","314","00:31:57","176","203","162","200","6:13","3:22","15","6","0,99","0,0","5.170","Nein","00:00:39,3","6","00:31:52","00:31:57","530","546"
