Aktivitätstyp,Datum,Favorit,Titel,Distanz,Kalorien,Zeit,Ø Herzfrequenz,Maximale Herzfrequenz,Aerober TE,Ø Geschwindigkeit,Maximale Geschwindigkeit,Anstieg gesamt,Abstieg gesamt,Ø Trittfrequenz,Max. Trittfrequenz,Normalized Power® (NP®),Training Stress Score®,Maximale Ø Leistung (20 min),Ø Leistung,Max. Leistung,Dekompression,Beste Rundenzeit,Anzahl der Runden,Zeit in Bewegung,Verstrichene Zeit,Minimale Höhe,Maximale Höhe
Indoor Cycling,2025-09-22 10:47:34,false,"Indoor Cycling","0,00","106","00:32:35","103","149","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:32:35","1","00:00:00","00:32:35","--","--"
Indoor Cycling,2025-09-12 16:33:19,false,"Indoor Cycling","0,00","86","00:15:56","125","142","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:15:56","1","00:00:00","00:15:56","--","--"
Radfahren,2025-08-16 17:46:38,false,"Pliening Radfahren","24,34","275","01:07:41","119","146","--","21,6","31,0","23","19","--","--","--","0,0","--","--","--","Nein","00:12:57","5","01:06:40","01:07:41","488","507"
Indoor Cycling,2025-08-12 13:10:41,false,"Indoor Cycling","0,00","147","00:45:30","104","138","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:45:30","1","00:00:00","00:45:30","--","--"
Indoor Cycling,2025-08-06 17:16:53,false,"Indoor Cycling","0,00","212","00:44:28","125","154","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:44:28","1","00:00:00","00:44:28","--","--"
Indoor Cycling,2025-07-14 18:36:44,false,"Indoor Cycling","0,00","174","00:30:37","130","154","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:30:37","1","00:00:00","00:30:37","--","--"
Indoor Cycling,2025-06-23 19:20:07,false,"Indoor Cycling","0,00","258","00:39:07","142","196","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:39:07","1","00:00:00","00:39:07","--","--"
Radfahren,2025-06-09 10:52:18,false,"Pliening Radfahren","18,23","347","00:53:07","139","184","--","20,6","30,9","27","22","--","--","--","0,0","--","--","--","Nein","00:09:04,0","4","00:49:29","01:04:12","485","510"
Indoor Cycling,2025-05-14 17:34:35,false,"Indoor Cycling","0,00","132","00:30:30","114","134","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:30:30","1","00:00:00","00:30:30","--","--"
Indoor Cycling,2025-05-06 17:47:10,false,"Indoor Cycling","0,00","134","00:33:48","111","135","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:33:48","1","00:00:00","00:33:48","--","--"
Indoor Cycling,2025-04-23 18:26:24,false,"Indoor Cycling","0,00","101","00:20:43","117","137","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:20:43","1","00:00:00","00:20:43","--","--"
Indoor Cycling,2025-04-09 17:26:05,false,"Indoor Cycling","0,00","226","00:32:28","136","167","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:32:28","1","00:00:00","00:32:28","--","--"
Indoor Cycling,2025-02-23 16:25:00,false,"Indoor Cycling","0,00","256","00:40:15","133","182","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:40:15","1","00:00:00","00:46:27","--","--"
Indoor Cycling,2025-02-12 17:43:53,false,"Indoor Cycling","0,00","250","00:32:52","145","188","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:32:52","1","00:00:00","00:32:52","--","--"
Indoor Cycling,2025-02-01 12:22:27,false,"Indoor Cycling","0,00","431","00:42:30","170","198","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:42:30","1","00:00:00","00:42:30","--","--"
Indoor Cycling,2025-01-17 18:23:56,false,"Indoor Cycling","0,00","252","00:28:45","149","174","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:28:45","1","00:00:00","00:28:45","--","--"
Indoor Cycling,2025-01-04 17:29:30,false,"Indoor Cycling","0,00","243","00:33:38","139","182","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:33:38","1","00:00:00","00:33:38","--","--"
Indoor Cycling,2024-12-26 19:42:48,false,"Indoor Cycling","0,00","324","00:35:05","158","186","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:35:05","1","00:00:00","00:37:06","--","--"
Indoor Cycling,2024-12-12 17:33:56,false,"Indoor Cycling","0,00","66","00:11:05","122","153","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:11:05","1","00:00:00","00:11:05","--","--"
Indoor Cycling,2024-12-04 18:52:43,false,"Indoor Cycling","0,00","168","00:21:58","140","163","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:21:58","1","00:00:00","00:21:58","--","--"
Indoor Cycling,2024-11-27 11:46:02,false,"Indoor Cycling","0,00","75","00:10:22","135","150","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:10:22","1","00:00:00","00:10:22","--","--"
